n,r_n_data,r_n_next_pred,r2_n
40,8.32494890318619263495485665055e-26,8.32494916058988409703744732482e-26,-2.5740369e-33
41,4.2509618313424271742554239736e-26,4.25095863946951260942050642792e-26,3.1918729e-32
42,2.20520489640228010242926657706e-26,2.20522003815981098056881159512e-26,-1.5141758e-31
43,1.16128624805453198863918244644e-26,1.16125435103955521170936579267e-26,3.1897015e-31
44,6.20374047401476394383952899059e-27,6.2039380654316005081494300934e-27,-1.9759142e-31
45,3.35975963989571803857850355484e-27,3.35997852305297683158916664404e-27,-2.1888316e-31
46,1.84347929804124989984246353968e-27,1.84336712805667346219283914487e-27,1.1216998e-31
47,1.02422724783775451260693212019e-27,1.02396154055510728789968240504e-27,2.6570728e-31
48,5.7590488253865413928035700151e-28,5.757697797882006567795260784e-28,1.3510275e-31
49,3.27555164350166301150295350249e-28,3.27653368585837799738661348658e-28,-9.8204236e-32
50,1.88362132419348867813638226344e-28,1.88613780888509028834582163567e-28,-2.5164847e-31
51,1.0946786678664895485598299047e-28,1.09726386235201678675645486206e-28,-2.5851945e-31
52,6.42663093891116130078429503437e-29,6.44142638245387900545702775212e-29,-1.4795444e-31
53,3.80990257379162381663834256185e-29,3.80848110900844056647032340105e-29,1.4214648e-32
54,2.27991138200701466085065248721e-29,2.26298439462621405858729352794e-29,1.6926987e-31
55,1.37671595408741491441745697493e-29,1.34841158651628176825813176857e-29,2.8304368e-31
56,8.38590548124964501329447241405e-30,8.04070128566083431741863008618e-30,3.452042e-31
57,5.15109368004698440341854589806e-30,4.78998193141920919169932872086e-30,3.6111175e-31
58,3.18980812405453122750362329263e-30,2.84656625791718368567917111366e-30,3.4324187e-31
59,1.99078195394702645684711101259e-30,1.68568773325645126133034800165e-30,3.0509422e-31
60,1.25187636286336022665635345764e-30,9.93920763738353485442030107632e-31,2.579556e-31
61,7.92990804009669255059722730128e-31,5.83184690774248597707289099714e-31,2.0980611e-31
62,5.05870767222073856733853265617e-31,3.40401117983873872528567562196e-31,1.6546965e-31
63,3.24920068888564507495953198997e-31,1.97618497460750949640104775968e-31,1.2730157e-31
64,2.10079916034252906888025627072e-31,1.14101331288774139889376074406e-31,9.5978585e-32
65,1.36701579761759866468485861147e-31,6.55231232589071374420963096081e-32,7.1178457e-32
66,8.95071321290599767504062240591e-32,3.7426723534475269454156479857e-32,5.2080409e-32
67,5.89596472838063627333032034813e-32,2.12674082811551216117927485726e-32,3.7692239e-32
68,3.90649185367578566336976125061e-32,1.20245284914094365746718303326e-32,2.704039e-32
69,2.60302849166907657519344211802e-32,6.7658983118558225381455356532e-33,1.9264387e-32
70,1.74405135143193689289398324219e-32,3.7894338231126055915242007852e-33,1.365108e-32
71,1.17478779273300328040006510152e-32,2.11302104047943538825487825815e-33,9.6348569e-33
72,7.95451584415020005294883766617e-33,1.17328326313012961089284802586e-33,6.7812326e-33
73,5.41326563431134638482923711634e-33,6.48871677066867528425495716662e-34,4.764394e-33
74,3.70199531461111597400660238057e-33,3.57483884455522945795926828914e-34,3.3445114e-33
75,2.54381456728938272265954247069e-33,1.96235484909638704539387982528e-34,2.3475791e-33
76,1.75611329059801572458404135217e-33,1.07349565302531292604849740362e-34,1.6487637e-33
77,1.21782176403629097898998056551e-33,5.85327999211856524063253466085e-35,1.159289e-33
78,8.48257600734089765538929054774e-34,3.18159889032831506445797257733e-35,8.1644161e-34
79,5.93383263141435887614010111577e-34,1.7242721414010009266041176468e-35,5.7614054e-34
80,4.16829913317648967564431848623e-34,9.31845580608683980045942025297e-36,4.0751146e-34
81,2.94003731892843398351826283393e-34,5.02249842006406575892454767994e-36,2.8898123e-34
82,2.08196394686930619758589854362e-34,2.70016291124327070480146302357e-36,2.0549623e-34
83,1.48005408959244358518333749651e-34,1.44813074538529158948395450739e-36,1.4655728e-34
84,1.0561488877498498035831117653e-34,7.74860476953857752993129245004e-37,1.0484003e-34
85,7.5644349595937819987440655026e-35,4.13699079975392513782691626891e-37,7.5230651e-35
86,5.43742938037684589355130473356e-35,2.20412163965426702707317559476e-37,5.4153882e-35
87,3.92229162360471995103757095541e-35,1.17197566930424609470256624944e-37,3.9105719e-35
88,2.83909440813196214268255020399e-35,6.21975571455166690286693072017e-38,2.8328747e-35
89,2.0619554855870098886870240711e-35,3.29486140014317921646604757473e-38,2.0586606e-35
90,1.50246782084576334294537553401e-35,1.7423898657158166300979907994e-38,1.5007254e-35
91,1.0983115795972843443732656498e-35,9.19879985298087013537912191583e-39,1.0973917e-35
92,8.05396120129288922699951870684e-36,4.84870846417785376357109096465e-39,8.0491125e-36
93,5.92416568156568227633888547551e-36,2.55187691905669021768742203619e-39,5.9216138e-36
94,4.37068611722349062998639289028e-36,1.34109694181573697883414335602e-39,4.369345e-36
95,3.2340653442314325069439200551e-36,7.03807576502905317608212519211e-40,3.2333615e-36
96,2.39992453073117735129962763848e-36,3.68863863622448402255420639537e-40,2.3995557e-36
97,1.78595174639077339448374350711e-36,1.93072510068363276532513808052e-40,1.7857587e-36
98,1.33272249734574306115196133547e-36,1.0093445194577575879378543073e-40,1.3326216e-36
99,9.97201490032688481770998321435e-37,5.27040986368799261509565940099e-41,9.9714879e-37
100,7.48127029946776225905627783816e-37,2.74887848957803672062558195846e-41,7.4809954e-37
