rep,n,a_n,a_n_lead,ratio_minus_1,n_times_ratio_minus_1
V_quad,500,3.51905488967108e+950,3.52943187807385e+950,-0.00294012995894242,-1.47006497947121
V_quad,1000,1.03416332554274e+2202,1.035686967153e+2202,-0.00147114104800205,-1.47114104800205
V_quad,2000,1.35058270884317e+5006,1.35157725412455e+5006,-0.000735840499194051,-1.4716809983881
V_quad,3000,3.56864252682841e+8037,3.57039423515356e+8037,-0.000490620421661771,-1.47186126498531
V_quad,4000,3.73627836683779e+11216,3.73765377806357e+11216,-0.000367987862827463,-1.47195145130985
V_quad,4500,7.35027284925122e+12848,7.35267796171599e+12848,-0.000327107004726741,-1.47198152127033
V_quad,4800,1.0369817875518e+13840,1.03729989210815e+13840,-0.00030666594952554,-1.47199655772259
QL15,500,9.2405784782781e+950,9.28641443489377e+950,-0.00493580777995838,-2.46790388997919
QL15,1000,2.71830202515264e+2202,2.7250330177926e+2202,-0.00247005911341627,-2.47005911341627
QL15,2000,3.55178933602576e+5006,3.55618324879698e+5006,-0.00123556984098075,-2.4711396819615
QL15,3000,9.38645270806916e+8037,9.39419195751303e+8037,-0.000823833436539391,-2.47150030961817
QL15,4000,9.8281977257967e+11216,9.83427452244439e+11216,-0.000617920176401366,-2.47168070560546
QL15,4500,1.93352677032297e+12849,1.9345893933521e+12849,-0.000549275744394071,-2.47174084977332
QL15,4800,2.72787139500254e+13840,2.72927684232395e+13840,-0.000514952275862406,-2.47177092413955
QL05,500,3.24567334117773e+830,3.19585783754369e+830,0.0155875217754781,7.79376088773905
QL05,1000,4.95632468294507e+1962,4.91810141017449e+1962,0.00777195701810869,7.77195701810869
QL05,2000,1.77200319486407e+4528,1.76515351909382e+4528,0.00388049860601677,7.76099721203354
QL05,3000,1.28573646512868e+7321,1.28242040996707e+7321,0.0025857785292836,7.75733558785079
QL05,4000,3.69936502685889e+10261,3.69220629739506e+10261,0.00193887580682446,7.75550322729784
QL05,4500,3.81563244801854e+11774,3.80906824498118e+11774,0.00172330938045299,7.75489221203846
QL05,4800,1.4547567708015e+12694,1.45241034540738e+12694,0.00161553888784705,7.75458666166586
QL09,500,-2.5029409233631e+906,-2.5030415122247e+906,-4.01866533597251e-5,-0.0200933266798626
QL09,1000,-6.96903495056807e+2113,-6.96910480422568e+2113,-1.00233329204251e-5,-0.0100233329204251
QL09,2000,-8.18764009285612e+4829,-8.18766058588815e+4829,-2.50291665380882e-6,-0.00500583330761765
QL09,3000,-1.94717559848486e+7773,-1.94717776369845e+7773,-1.11197530695075e-6,-0.00333592592085226
QL09,4000,-1.83509562227265e+10864,-1.83509676987717e+10864,-6.25364582932235e-7,-0.00250145833172894
QL09,4500,-3.42523574243471e+12452,-3.42523743478705e+12452,-4.94083218798953e-7,-0.00222337448459529
QL09,4800,-1.86406229870558e+13417,-1.86406310815404e+13417,-4.34238763341941e-7,-0.00208434606404132
